鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
潭子區,房地(土地+建物)+車位,臺中市潭子區中山路一段７巷４８號五樓,30.1,都市：其他:住宅區,,,1100806,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801129,175.22,4,2,2,有,有,10550000,60210,坡道平面,0.0,0,,RPVNMLSKQHGGFHB09DA,112.59,15.12,0.0,有,0167
潭子區,房地(土地+建物),臺中市潭子區中山路一段３８６巷５弄１０號,65.63,都市：其他:住宅區,,,1100830,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0621015,49.86,3,2,1,有,無,4750000,95267,,0.0,0,,RPTNMLTJRHGGFHB98DA,49.86,0.0,0.0,無,
潭子區,房地(土地+建物)+車位,臺中市潭子區潭興路三段１１１巷１號十一樓之１,37.39,都市：其他:住宅區,,,1100405,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100524,152.93,3,2,2,有,有,11260000,82755,坡道平面,31.97,1250000,土地買賣價格新台幣4004000元正，建物買賣價格新台幣6006000元正，車位買賣價格新台幣1250000元正,RPUNMLRJRHGGFHB88DA,73.96,5.68,0.0,有,
潭子區,房地(土地+建物)+車位,臺中市潭子區潭興路三段１１１巷１號六樓之３,26.48,都市：其他:住宅區,,,1080612,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100524,111.74000000000001,2,2,1,有,有,7410000,77222,坡道平面,31.97,1250000,土地買賣價格新台幣2464000元正，建物買賣價格新台幣3696000元正，車位買賣價格新台幣1250000元正,RPXNMLRJRHGGFHB56DA,49.57,2.89,0.0,有,
潭子區,房地(土地+建物)+車位,臺中市潭子區潭興路三段１１１巷１號八樓之３,26.48,都市：其他:住宅區,,,1080505,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100524,111.74000000000001,2,2,1,有,有,7510000,78476,坡道平面,31.97,1250000,土地買賣價格新台幣2504000元正，建物買賣價格新台幣3756000元正，車位買賣價格新台幣1250000元正,RPOOMLRJRHGGFHB38DA,49.57,2.89,0.0,有,
潭子區,房地(土地+建物)+車位,臺中市潭子區潭興路三段１１１巷１號四樓之５,38.47,都市：其他:住宅區,,,1100504,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100524,156.27,3,2,2,有,有,11120000,79405,坡道平面,31.97,1250000,土地買賣價格新台幣3948000元正，建物買賣價格新台幣5922000元正，車位買賣價格新台幣1250000元正,RPPOMLRJRHGGFHB48DA,76.31,5.59,0.0,有,
潭子區,房地(土地+建物)+車位,臺中市潭子區潭興路三段１１１巷１號九樓之５,38.29,都市：其他:住宅區,,,1090314,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100524,155.82,3,2,2,有,有,10910000,77594,坡道平面,31.97,1300000,土地買賣價格新台幣3844000元正，建物買賣價格新台幣5766000元正，車位買賣價格新台幣1300000元正,RPQOMLRJRHGGFHB58DA,75.86,5.59,0.0,有,
潭子區,房地(土地+建物)+車位,臺中市潭子區潭興路三段１１１巷１號八樓之６,37.21,都市：其他:住宅區,,,1100522,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100524,150.72,3,2,2,有,有,11150000,81544,坡道平面,30.54,1350000,土地買賣價格新台幣3920000元正，建物買賣價格新台幣5880000元正，車位買賣價格新台幣1350000元正,RPROMLRJRHGGFHB68DA,73.55,5.68,0.0,有,
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５４５號三樓之７,17.63,都市：其他:住宅區,,,1080319,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,115.3,2,2,1,有,有,7150000,69015,坡道平面,31.26,1350000,預售屋、或土地及建物分件登記案件；,RPQOMLMKPHGGFIB08DA,51.81,5.09,0.0,有,
大里區,房地(土地+建物),臺中市大里區三興街６１號,83.72,都市：其他:住宅區,,,1100731,土地1建物1車位0,全,三層,透天厝,店舖、住宅、人行道,鋼筋混凝土造,0780710,157.92,4,2,3,有,無,14880000,94225,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPUOMLMJQHGGFIB48DA,139.99,17.93,0.0,無,
大雅區,房地(土地+建物),臺中市大雅區通山路３２之７號,77.42,都市：其他:農業區,,,1100822,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0860325,199.78,4,2,3,有,無,9500000,47552,,0.0,0,,RPWNMLOKRHGGFHB88DA,185.56,14.22,0.0,無,
大雅區,房地(土地+建物),臺中市大雅區雅環一街７９號,81.02,都市：其他:住宅區,,,1100717,土地2建物1車位0,全,四層,透天厝,停車空間、住宅,鋼筋混凝土造,1011101,152.86,4,3,3,有,有,13880000,90802,,0.0,0,,RPSNMLOKRHGGFHB48DA,121.11,31.75,0.0,無,
霧峰區,房地(土地+建物),臺中市霧峰區新豐路１２０之２號,74.4,,特定農業區,甲種建築用地,1100828,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091202,177.69,4,3,4,有,有,12980000,73049,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSVMLKMQHGGFIB09DA,163.48,14.21,0.0,無,
大里區,房地(土地+建物),臺中市大里區工業路宏巨１巷２弄１號,69.48,,特定農業區,甲種建築用地,1100812,土地2建物1車位0,全,四層,透天厝,住宅　停車空間,鋼筋混凝土造,0871127,154.67,4,2,3,有,無,9500000,61421,,0.0,0,陽台外推；其他增建；,RPPOMLLMQHGGFIB18DA,129.55,25.12,0.0,無,0168
烏日區,房地(土地+建物),臺中市烏日區中華路４１２號,131.38,都市：其他:第三種住宅區。,,,1100810,土地1建物1車位0,全,四層,透天厝,住宅．店舖．梯間．人行道．停車空間,鋼筋混凝土造,0960814,249.74,6,2,4,有,無,8000000,32033,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLJRHGGFIB28DA,220.06,29.68,0.0,無,
烏日區,房地(土地+建物)+車位,臺中市烏日區長春街５０５號三樓,26.07,都市：其他:第三種住宅區。,,,1100814,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0820104,154.21,3,2,2,有,有,5400000,35017,坡道平面,14.97,0,親友、員工、共有人或其他特殊關係間之交易；,RPVUMLKMQHGGFIB66DA,113.59,11.19,0.0,有,0169
大里區,房地(土地+建物),臺中市大里區新甲路５８號二樓之１,17.05,都市：其他:商業區,,,1100824,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030903,150.57999999999998,3,2,2,有,有,8900000,59105,,0.0,0,含傢俱設備費；,RPXNMLSJRHGGFIB76DA,92.95,10.24,0.0,有,
大里區,房地(土地+建物)+車位,臺中市大里區中山路１巷１弄１４號四樓,23.45,都市：其他:住宅區,,,1100818,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830829,111.75,3,1,1,有,有,2200000,19687,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNJRHGGFIB28DA,72.78,13.14,0.0,有,
