鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
士林區,房地(土地+建物),臺北市士林區中山北路七段１４巷１９之１號二樓,19.54,都市：其他:第三種住宅區。,,,1100806,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770119,145.97,4,2,2,有,有,27580000,188943,,0.0,0,其他增建；,RPPOMLNKRHGGFEA87EA,120.9,13.16,0.0,有,
士林區,房地(土地+建物),臺北市士林區社子街１６０號三樓,11.17,都市：其他:第三種住宅區。,,,1100813,土地2建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661013,46.45,2,1,1,有,無,2330335,50169,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLNKRHGGFEA97EA,40.67,5.78,0.0,無,084
士林區,房地(土地+建物),臺北市士林區社子街１６０號三樓,11.17,都市：其他:第三種住宅區。,,,1100813,土地2建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661013,46.45,2,1,1,有,無,2587235,55699,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,SPQOMLNKRHGGFEA08EA,40.67,5.78,0.0,無,084
大安區,房地(土地+建物),臺北市大安區信義路四段１３８號十樓,10.14,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第貳種商業區)。,,,1100804,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0691124,139.92000000000002,2,2,2,有,有,39100000,279445,,0.0,0,陽台外推；,RPROMLNKRHGGFFA18EA,119.09,13.22,0.0,有,
大安區,房地(土地+建物),臺北市大安區四維路１９８巷２０弄２號十六樓,19.39,都市：其他:第三種住宅區。,,,1100823,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,101.3,3,1,1,有,有,23800000,234946,,0.0,0,,RPSOMLNKRHGGFFA28EA,73.96,6.28,0.0,有,
大安區,房地(土地+建物),臺北市大安區新生南路一段１２１號七樓,18.56,都市：其他:第三之二種住宅區。,,,1100701,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750613,146.39,2,2,2,有,有,41180000,281303,,0.0,0,,RPWOMLOKRHGGFFA78EA,120.84,16.1,0.0,有,
松山區,房地(土地+建物),臺北市松山區寶清街２１號四樓,8.78,都市：其他:第三種商業區。,,,1100822,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0781120,79.22,2,2,2,有,有,16500000,208281,,0.0,0,,RPPOMLNKRHGGFDA77EA,62.21,0.0,0.0,有,086
信義區,房地(土地+建物),臺北市信義區基隆路一段１０３號十二樓之１,5.74,都市：其他:第三種住宅區。,,,1100725,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0910104,50.34,1,1,1,有,有,11700000,232420,,0.0,0,陽台外推；夾層；,RPROMLNKRHGGFDA97EA,32.79,4.25,0.0,有,087
信義區,房地(土地+建物),臺北市信義區和平東路三段３９１巷９號四樓,24.8,都市：其他:第三種住宅區。,,,1100805,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.1,3,2,2,有,無,7100000,77936,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNKRHGGFDA28EA,73.43,17.67,0.0,無,
信義區,房地(土地+建物),臺北市信義區祥雲街１１號七樓,36.85,都市：其他:第二種住宅區。,,,1100713,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700422,177.95,4,2,2,有,有,23000000,129250,,0.0,0,,RPXRMLNKQHGGFDA78EA,119.01,36.66,0.0,有,
南港區,房地(土地+建物),臺北市南港區東新街１１８巷７９號四樓,21.24,都市：其他:第三種住宅區。,,,1100704,土地3建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010314,101.88000000000001,3,2,2,有,有,26200000,257165,,0.0,0,,RPPSMLNKQHGGFDA08EA,67.89,10.23,0.0,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１９２號十樓,31.52,都市：其他:交通用地(公共設施用地)。,,,1100903,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1050616,218.7,0,0,1,有,有,41298168,233808,坡道平面,52.5,2439200,政府機關標讓售；,RPOPMLLKRHGGFCA47EA,98.07,10.25,0.0,有,
中山區,房地(土地+建物)+車位,臺北市中山區長安東路二段２０８號十二樓之２,17.45,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100504,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960623,214.18,3,2,2,有,有,55000000,256793,坡道平面,0.0,0,,RPPQMLOKRHGGFCA97EA,115.75,20.58,0.0,有,
萬華區,建物,臺北市萬華區昆明街７９號八樓之１５,0.0,,,,1100729,土地0建物1車位0,八層,十層,華廈(10層含以下有電梯),一般事務所,鋼筋混凝土造,0750404,35.910000000000004,1,1,1,有,有,4200000,116959,,0.0,0,,RPUOMLNKRHGGFBA08EA,27.6,0.0,0.0,有,
大同區,房地(土地+建物),臺北市大同區延平北路二段２４２號二樓之１,22.7,都市：其他:道路用地(公共設施用地)。63/10/18,,,1100807,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710930,201.99,4,2,3,有,有,27500000,136145,,0.0,0,陽台外推；其他增建；,RPQPMLNKRHGGFBA77EA,157.23,17.02,0.0,有,
