鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三民區,房地(土地+建物),高雄市三民區長明街１９號十樓之５,2.49,都市：其他:第五種商業區,,,1100801,土地1建物1車位0,十層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840214,28.84,1,0,1,有,有,1700000,58946,,0.0,0,,RPWNMLNKRHGGFDE68DA,18.48,4.29,0.0,有,
三民區,房地(土地+建物)+車位,高雄市三民區順昌街８９號四樓之５,15.46,都市：其他:第三種商業區,,,1100814,土地1建物1車位1,四層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,1000617,141.32999999999998,2,1,1,有,有,6950000,49176,坡道機械,27.64,0,,RPXNMLNKRHGGFDE78DA,62.22,13.01,0.0,有,131
左營區,房地(土地+建物),高雄市左營區文自路３８７巷２２號,105.04,都市：其他:第四種住宅區,,,1100802,土地1建物1車位0,全,004,透天厝,住家用,見使用執照,0901101,258.08,6,2,4,有,無,20660000,80053,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPOPMLMJQHGGFEE87DA,215.26,42.82,0.0,無,
三民區,房地(土地+建物),高雄市三民區吉林街１６５巷６號,57.0,都市：其他:道,,,1100901,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0600823,72.79,5,3,3,有,無,8900000,122270,,0.0,0,頂樓加蓋；其他增建；,RPXNMLKKRHGGFDE48DA,72.79,0.0,0.0,無,132
三民區,房地(土地+建物)+車位,高雄市三民區鼎愛街２６號十二樓,17.1,都市：其他:第四種住宅區,,,1100417,土地1建物1車位1,十二層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901130,138.55,3,2,2,有,有,7460000,53843,坡道平面,26.61,0,,RPROMLLKRHGGFDE08DA,68.95,10.78,0.0,有,133
三民區,房地(土地+建物),高雄市三民區鼎中路２４８號,124.0,都市：其他:第二種特定商業專用區,,,1100708,土地1建物1車位0,全,005,透天厝,,鋼筋混凝土造,0741018,441.66,9,2,7,有,無,27000000,61133,,0.0,0,其他增建；,RPWNMLQKPHGGFDE78DA,416.54,25.12,0.0,無,
三民區,房地(土地+建物),高雄市三民區建武路２４號四樓,24.35,都市：其他:第五種住宅區,,,1100811,土地2建物1車位0,四層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810414,94.52,3,2,2,有,無,4530000,47926,,0.0,0,,RPSNMLRLQHGGFDE68DA,69.72,11.11,0.0,有,
三民區,房地(土地+建物),高雄市三民區義華路２８７巷３之３號,25.09,都市：其他:第四種商業區,,,1100811,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700124,72.76,3,2,2,有,無,2800000,38483,,0.0,0,,RPRRMLLJRHGGFDE28DA,72.76,0.0,0.0,無,134
三民區,房地(土地+建物),高雄市三民區大順二路４２５巷３８弄３６號,53.0,都市：其他:第五種商業區,,,1100809,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0580221,70.67,3,2,2,有,無,4700000,66506,,0.0,0,,RPPPMLSJRHGGFDE58DA,70.67,0.0,0.0,無,
三民區,房地(土地+建物)+車位,高雄市三民區春陽街５２之３號十二樓,9.85,都市：其他:第四種商業區,,,1100724,土地1建物1車位1,十二層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901122,99.52000000000001,2,2,1,有,有,5600000,56270,坡道平面,16.1,0,,RPWOMLRLQHGGFDE56DA,52.68,7.1,0.0,有,135
